buoyid,name,lat,lon,N_obs,first_obs,last_obs,source,norkyst_depth
53,Brønnstadbukta,59.078139,9.717251,14514,2019-07-10,2021-09-29,badetassen.no,41.18943405151367
1-277221,Skrova,68.16533,14.68865,110,2020-10-27,2022-06-14,yr.no,48.829410552978516
51,Kråkeskarvet,60.473128,7.075648,13559,2019-07-08,2021-11-08,badetassen.no,109.4808578491211
23,Kanalparken,58.76955,5.84833,15029,2019-06-20,2022-06-14,badetassen.no,52.40235137939453
119,Øvstabøstølen,58.865634,6.568206,14528,2020-09-28,2021-11-27,badetassen.no,101.95757293701172
67,Månestranda,59.741089,10.209652,2601,2020-05-11,2021-02-22,badetassen.no,37.33120346069336
65,Holmennokken,59.738625,10.217581,7834,2020-05-11,2022-04-07,badetassen.no,37.33120346069336
55,Gunnarsholmen,58.86498,9.41161,16372,2019-07-25,2022-06-14,badetassen.no,23.494609832763672
33,Vannverksdammen,59.735705,10.137977,1673,2019-06-24,2021-06-24,badetassen.no,37.33120346069336
126,Sand,59.485159,6.246277,4414,2021-06-15,2021-10-05,badetassen.no,206.104736328125
116,Rødstjødna,59.651068,6.314661,8125,2020-08-20,2022-06-14,badetassen.no,92.24720764160156
1-2426,Auglandsbukta,58.11995,7.96522,102,2020-09-09,2022-06-02,yr.no,37.92607498168945
1-2831377,Koigen,60.79371,11.05976,358,2020-06-06,2022-06-14,yr.no,18.432126998901367
82,Mule Varde,59.098752,9.700902,10120,2020-06-02,2021-09-29,badetassen.no,42.86103820800781
74,Skonnordtjernet,60.878229,10.405733,9825,2020-05-19,2022-06-14,badetassen.no,28.624448776245117
98,Langangen,59.08465,9.7999,10983,2020-06-26,2022-06-07,badetassen.no,30.481279373168945
17,Olavsberget,59.109475,9.709374,11304,2019-06-12,2021-08-21,badetassen.no,42.86103820800781
104,Grindafjord feriesenter,59.438308,5.481414,9501,2020-07-02,2022-06-13,badetassen.no,26.041479110717773
128,Volsdalsberga,62.467929,6.198442,4537,2021-07-05,2022-06-14,badetassen.no,37.743927001953125
046,Svalerødkilen,59.104,11.221,1098,2020-05-19,2021-09-21,badevann.no,26.33877944946289
127,Bortelidtjønna,58.818906,7.471262,4009,2021-07-02,2021-10-18,badetassen.no,16.753976821899414
22,Perlå,58.763509,5.854226,11748,2019-06-20,2021-08-08,badetassen.no,52.40235137939453
101,Kvalsvik bad og friluftsområde,59.43516,5.240368,5378,2020-07-02,2021-11-04,badetassen.no,51.55936813354492
21,Strømvig Sjøbad,58.952116,5.752329,9695,2019-06-19,2020-10-09,badetassen.no,86.09337615966797
1-7654,Fevikkilen,58.3661,8.67566,216,2020-09-18,2022-04-17,yr.no,35.489723205566406
100,Sørenga,59.9007,10.7497,11194,2020-07-03,2022-06-12,badetassen.no,20.0649356842041
1-2518187,Ullensvang hotell,6.657,60.32839,148,2020-06-27,2022-06-14,yr.no,19.46234703063965
47,Soløyvannet,67.321216,14.615787,11266,2019-07-04,2021-08-01,badetassen.no,114.63870239257812
10-984988,Store Kigeholmen,7.52884,58.00664,285,2020-07-12,2022-05-17,yr.no,5.9039387702941895
58,Randsfjord Badepark,60.245772,10.405354,2183,2019-08-08,2019-09-30,badetassen.no,28.624448776245117
2-3042021,Båtvika,70.91688,-8.7209,162,2020-06-15,2022-05-28,yr.no,2979.42529296875
103,Eivindsvatnet,59.419217,5.300414,10504,2020-07-02,2022-06-14,badetassen.no,22.686399459838867
11-17685,Nordre Jarlsberg Brygge,59.56648,10.26757,298,2020-06-06,2022-06-14,yr.no,26.786964416503906
85,Valplassen,66.371265,12.359083,12133,2020-06-11,2022-06-14,badetassen.no,31.036897659301758
004,Hvalstrand,59.841,10.489,2995,2016-05-24,2022-06-14,badevann.no,23.48062515258789
1-7246,Langedalsvannet,58.25964,8.40447,1458,2022-03-01,2022-06-09,Lillesand kommune,12.613405227661133
1-73595,Sognsvann,59.97499,10.72891,324,2020-06-03,2022-06-14,yr.no,18.432126998901367
15,Godalen,58.95328,5.7565,37217,2019-06-07,2022-06-14,badetassen.no,86.09337615966797
1-2746208,Mærrapanna naturreservat,10.79349,59.19428,139,2020-07-31,2021-09-06,yr.no,19.46234703063965
003,Sjøstrand,59.7969,10.4983,2327,2016-05-24,2020-09-15,badevann.no,54.33802032470703
1-332552,Klopp,59.25864,10.47528,207,2020-07-24,2022-06-12,yr.no,30.92882537841797
115,Nesøyra,59.641387,6.320553,6303,2020-08-20,2022-06-14,badetassen.no,92.24720764160156
1-2254113,Tjuvholmen,59.90713,10.72218,194,2021-10-08,2022-06-13,yr.no,18.614683151245117
93,Sandebukta,59.23308,6.163875,9772,2020-06-25,2022-06-14,badetassen.no,126.78144836425781
76,Rambekkvika,60.78123,10.70268,10361,2020-06-18,2022-06-14,badetassen.no,18.432126998901367
0-10035,Bystranda,10.92179,60.87848,136,2020-06-26,2021-10-06,yr.no,19.46234703063965
20,Møllebukta,58.94101,5.67038,21391,2019-06-19,2022-06-14,badetassen.no,24.987064361572266
77,Kremmerodden,60.94835,10.643563,7363,2020-06-12,2022-06-14,badetassen.no,18.432126998901367
0-10031,Glesvær Sjøbad,60.20261,5.04024,161,2020-06-17,2021-10-09,yr.no,23.072919845581055
11-2897,Nes camping,59.48274,10.6425,111,2020-06-02,2022-06-05,yr.no,44.74800491333008
125,Sjøbadet,59.4302,10.651787,1075,2021-10-06,2022-06-09,badetassen.no,46.03744888305664
1-2744201,Foten,59.17051,10.82811,179,2020-06-13,2022-06-06,yr.no,33.5634880065918
80,Røra,59.086304,9.715646,9338,2020-05-28,2021-09-22,badetassen.no,42.802940368652344
73,Skumsjøen,60.747794,10.543496,9553,2020-05-19,2022-06-14,badetassen.no,28.624448776245117
5,Aksdalsvatnet,59.41675,5.418333,34153,2019-05-21,2022-06-13,badetassen.no,28.751705169677734
1-46598,Borrevannet,59.41157,10.43162,346,2022-03-01,2022-06-09,Horten kommune,34.828514099121094
0-10056,Springvannsstemmen,58.24744,8.37392,1496,2022-03-01,2022-06-09,Lillesand kommune,29.55957794189453
1-2289693,Steinsnes,59.40173,10.48536,238,2020-06-11,2022-06-14,yr.no,33.37528991699219
10-988926,Mariusbrygga,59.04412,10.04509,175,2020-12-26,2022-05-02,yr.no,30.665668487548828
95,Hjertøya,62.717889,7.169704,14656,2020-06-23,2022-06-14,badetassen.no,27.61090850830078
011,Helleneset,60.4355,5.281,3737,2019-06-11,2022-06-07,badevann.no,169.60675048828125
123,Bakkestranda,59.200524,9.601643,4678,2021-05-07,2021-09-22,badetassen.no,38.593414306640625
45,Follsjø,59.67343,9.26343,1228,2019-07-03,2021-07-03,badetassen.no,37.33120346069336
34,Sota fjordpark,59.726017,10.256319,3684,2019-06-24,2022-04-06,badetassen.no,50.026527404785156
2-3158622,Eidssund,5.95,59.23333,223,2020-08-14,2021-07-16,yr.no,19.46234703063965
120,Peraneset,60.205852,5.626298,6185,2021-05-01,2021-10-08,badetassen.no,161.67352294921875
7,Grønnavigå,58.98838,5.73983,32016,2019-06-03,2022-06-14,badetassen.no,30.45553970336914
46,Landfalltjern,59.769695,10.166689,3510,2019-07-05,2022-03-03,badetassen.no,37.03916931152344
0-10025,Sollerudstranda,59.91267,10.64748,413,2020-07-06,2022-06-09,yr.no,28.624448776245117
0-10044,Bystranda,58.1457,8.00773,174,2021-10-06,2022-06-14,yr.no,45.30782699584961
109,Sundssanden,63.86413,11.29408,10153,2020-07-17,2022-06-14,badetassen.no,29.03433609008789
71,Hagafjøro,60.23382,5.73429,5162,2020-05-28,2020-09-30,badetassen.no,53.42435073852539
129,Sandnessjøen havsbad,65.989325,12.623672,2045,2021-07-13,2021-11-04,badetassen.no,57.28764724731445
79,Heistadstranda,59.075175,9.691555,8804,2020-06-06,2021-09-29,badetassen.no,41.34880447387695
24,Hornnes Camping,58.55323,7.77995,14406,2019-06-21,2022-06-14,badetassen.no,17.461498260498047
1-131072,Tjuvholmen,11.073,60.78843,249,2020-06-05,2021-10-05,yr.no,19.46234703063965
13,Vaulen,58.926347,5.750357,31352,2019-06-07,2022-06-14,badetassen.no,82.49497985839844
10-990121,Huk,59.89534,10.67733,118,2020-06-03,2022-05-30,yr.no,27.818206787109375
4,Dragavika,59.401295,5.387442,39376,2019-05-21,2022-06-13,badetassen.no,28.751705169677734
37,Geitvågen Camping,67.3449,14.52015,16213,2019-06-28,2022-01-12,badetassen.no,53.78873825073242
11-13924,Hunderfossen Eventyrpark,10.43581,61.22568,146,2020-06-18,2022-06-14,yr.no,19.46234703063965
94,Retiro,62.738783,7.216942,10327,2020-06-23,2022-06-14,badetassen.no,26.844623565673828
1-275998,Ramberg,68.08991,13.22989,132,2020-07-12,2022-06-10,yr.no,9.654314994812012
045,Kruseter,59.133,11.528,1086,2020-06-08,2021-09-23,badevann.no,13.039729118347168
59,Arendal Gjestehavn,58.459704,8.768082,11138,2019-08-12,2022-06-07,badetassen.no,14.008498191833496
1-7075,Flakksvann,8.20628,58.32827,102,2020-10-16,2022-04-17,yr.no,19.46234703063965
72,Mobergsvikjo,60.18035,5.4646,15560,2020-05-28,2022-06-14,badetassen.no,112.528564453125
56,Raudvigå,58.76756,5.83113,13332,2019-07-26,2021-11-18,badetassen.no,52.40235137939453
114,Stora Stokkavatnet,58.96031,5.679755,11957,2020-08-13,2022-06-14,badetassen.no,30.099458694458008
1-2361693,Skraviga,8.67092,58.36584,303,2020-07-27,2020-12-22,yr.no,19.46234703063965
70,Vinnesholmen,60.15371,5.57708,13336,2020-06-02,2022-06-14,badetassen.no,149.0408477783203
81,Toke Brygge,59.0977,9.0674,11771,2020-05-29,2021-10-12,badetassen.no,29.738393783569336
89,Almenningen bybad,59.409014,5.271909,7271,2020-06-25,2022-06-13,badetassen.no,23.344274520874023
121,Gåsodden,59.189917,9.539256,5420,2021-05-10,2021-09-22,badetassen.no,29.782146453857422
26,Øystese,60.38729,6.20512,14598,2019-06-21,2022-06-14,badetassen.no,113.11116790771484
83,Sildevika,59.048677,9.760266,10982,2020-06-02,2022-06-07,badetassen.no,28.685836791992188
1-2348198,Kubukta,58.85627,9.57225,171,2020-07-02,2022-06-06,yr.no,12.827201843261719
31,Bragernes strand,59.739869,10.216983,2539,2019-06-26,2021-02-25,badetassen.no,37.33120346069336
49,Ringshaugstranda,59.27393,10.49538,13361,2019-07-06,2022-06-14,badetassen.no,68.72927856445312
1-7246,Langedalsvann,58.25964,8.40447,1458,2022-03-01,2022-06-09,yr.no,12.613405227661133
87,Vik,60.466249,7.066029,12479,2020-06-17,2022-05-09,badetassen.no,130.14895629882812
78,Bøkkerkåsa,59.105858,9.647118,9351,2020-06-03,2022-06-07,badetassen.no,36.206172943115234
1-2361692,Fevikodden,58.36719,8.68601,120,2020-06-21,2022-06-06,yr.no,36.262149810791016
1-46598,Borrevannet,59.41157,10.43162,346,2022-03-01,2022-06-09,yr.no,34.828514099121094
90,Nesvik,59.262487,6.159887,10913,2020-06-25,2021-10-18,badetassen.no,120.15621185302734
112,Midtsandtangen,63.43399,10.72219,6267,2020-08-10,2021-09-23,badetassen.no,75.93344116210938
44,Svingen,59.55759,9.20719,13054,2019-07-04,2021-09-20,badetassen.no,29.782146453857422
1-92769,Nordåsvannet,60.31977,5.31005,136,2020-07-25,2022-06-10,yr.no,28.221961975097656
25,Norheimsund,60.36896,6.14862,15359,2019-06-21,2022-06-14,badetassen.no,86.66388702392578
9,Paradisbukta,64.01481,11.44694,17266,2019-06-03,2021-10-06,badetassen.no,25.552982330322266
110,Storvika,63.47091,10.88002,10064,2020-07-23,2022-03-07,badetassen.no,18.28911781311035
43,Tinnemyra,59.58337,9.29329,19059,2019-07-04,2022-03-18,badetassen.no,26.201658248901367
63,Gjerdesanden,62.50923,6.06663,14295,2020-05-01,2022-03-02,badetassen.no,31.232053756713867
113,Klovsteinstjødna,59.70463,6.348284,6441,2020-08-11,2022-06-14,badetassen.no,78.90278625488281
12,Korsvika,63.45039,10.43387,7855,2019-06-12,2021-08-19,badetassen.no,128.87684631347656
